Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Clean,Sentiment_Group,post_length
 Enjoying a beautiful day at the park!              ,Positive,2023-01-15 12:30:00, User123      ,Twitter, #Nature #Park                            ,15.0,30.0,USA,2023,1,15,12,positive,Joy,52
 Traffic was terrible this morning.                 ,Negative,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0,Canada,2023,1,15,8,negative,Anger,52
 Just finished an amazing workout! 💪               ,Positive,2023-01-15 15:45:00, FitnessFan   ,Instagram, #Fitness #Workout                        ,20.0,40.0,USA,2023,1,15,15,positive,Joy,51
 Excited about the upcoming weekend getaway!        ,Positive,2023-01-15 18:20:00, AdventureX   ,Facebook, #Travel #Adventure                       ,8.0,15.0,UK,2023,1,15,18,positive,Joy,52
 Trying out a new recipe for dinner tonight.        ,Neutral,2023-01-15 19:55:00, ChefCook     ,Instagram, #Cooking #Food                           ,12.0,25.0,Australia,2023,1,15,19,neutral,Neutral/Other,52
 Feeling grateful for the little things in life.    ,Positive,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023,1,16,9,positive,Joy,52
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,2023-01-16 14:45:00, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10.0,20.0,Canada,2023,1,16,14,positive,Joy,52
 The new movie release is a must-watch!             ,Positive,2023-01-16 19:30:00, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15.0,30.0,USA,2023,1,16,19,positive,Joy,52
 Political discussions heating up on the timeline.  ,Negative,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0,USA,2023,1,17,8,negative,Anger,52
 Missing summer vibes and beach days.               ,Neutral,2023-01-17 12:20:00, BeachLover   ,Facebook, #Summer #BeachDays                      ,18.0,35.0,Australia,2023,1,17,12,neutral,Neutral/Other,52
 Just published a new blog post. Check it out!      ,Positive,2023-01-17 15:15:00, BloggerX     ,Instagram, #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,positive,Joy,52
 Feeling a bit under the weather today.             ,Negative,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0,Canada,2023,1,18,10,negative,Anger,52
 Exploring the city's hidden gems.                  ,Positive,2023-01-18 14:50:00, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12.0,25.0,UK,2023,1,18,14,positive,Joy,52
" New year, new fitness goals! 💪                    ",Positive,2023-01-18 18:00:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,USA,2023,1,18,18,positive,Joy,51
 Technology is changing the way we live.            ,Neutral,2023-01-19 09:45:00, TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023,1,19,9,neutral,Neutral/Other,52
 Reflecting on the past and looking ahead.          ,Positive,2023-01-19 13:20:00, Reflections  ,Facebook, #Reflection #Future                     ,20.0,40.0,USA,2023,1,19,13,positive,Joy,52
 Just adopted a cute furry friend! 🐾              ,Positive,2023-01-19 17:10:00, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023,1,19,17,positive,Joy,50
 Late-night gaming session with friends.            ,Positive,2023-01-20 00:05:00, GamerX       ,Twitter, #Gaming #LateNight                      ,18.0,35.0,UK,2023,1,20,0,positive,Joy,52
 Attending a virtual conference on AI.              ,Neutral,2023-01-20 11:30:00, TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,neutral,Neutral/Other,52
 Winter blues got me feeling low.                   ,Negative,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0,USA,2023,1,20,15,negative,Anger,52
 Sipping coffee and enjoying a good book.           ,Positive,2023-01-21 08:40:00, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023,1,21,8,positive,Joy,52
 Exploring the world of virtual reality.            ,Positive,2023-01-21 13:20:00, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,positive,Joy,52
 Productive day ticking off my to-do list.          ,Positive,2023-01-21 16:45:00, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,USA,2023,1,21,16,positive,Joy,52
 Just finished a challenging workout routine.       ,Positive,2023-01-22 09:15:00, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,UK,2023,1,22,9,positive,Joy,52
 Celebrating a milestone at work! 🎉               ,Positive,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023,1,22,14,positive,Joy,50
 Sunday brunch with friends.                        ,Positive,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,UK,2023,1,22,12,positive,Joy,52
 Learning a new language for personal growth.       ,Positive,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,1,23,16,positive,Joy,52
 Quiet evening with a good book.                    ,Positive,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023,1,23,19,positive,Joy,52
 Reflecting on the importance of mental health.     ,Positive,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,USA,2023,1,24,11,positive,Joy,52
 New painting in progress! 🎨                       ,Positive,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,1,24,15,positive,Joy,51
 Weekend road trip to explore scenic views.         ,Positive,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,UK,2023,1,24,17,positive,Joy,52
 Enjoying a cup of tea and watching the sunset.     ,Positive,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,1,25,18,positive,Joy,52
 Coding a new project with enthusiasm.              ,Positive,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,USA,2023,1,25,13,positive,Joy,52
 Feeling inspired after attending a workshop.       ,Positive,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,positive,Joy,52
 Winter sports day at the local park.               ,Positive,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023,1,26,14,positive,Joy,52
 Quality time with family this weekend.             ,Positive,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,UK,2023,1,26,17,positive,Joy,52
 Attending a live music concert tonight.            ,Positive,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,USA,2023,1,27,20,positive,Joy,52
 Practicing mindfulness with meditation.            ,Positive,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,1,27,12,positive,Joy,52
 Trying out a new dessert recipe.                   ,Positive,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023,1,27,16,positive,Joy,52
 Excited about the upcoming gaming tournament.      ,Positive,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,positive,Joy,52
 Planning a garden makeover for spring.             ,Positive,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,USA,2023,1,28,14,positive,Joy,52
 Celebrating a friend's birthday tonight! 🎂       ,Positive,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,UK,2023,1,28,19,positive,Joy,50
 Feeling accomplished after a productive day.       ,Positive,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,1,29,17,positive,Joy,52
 A cozy evening with a good movie.                 ,Positive,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,1,29,20,positive,Joy,51
 Exploring local art galleries this weekend.        ,Positive,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,USA,2023,1,30,11,positive,Joy,52
 New book release from my favorite author!          ,Positive,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,UK,2023,1,30,15,positive,Joy,52
 Attending a virtual reality meetup.                ,Positive,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,1,30,18,positive,Joy,52
 Reflecting on the beauty of nature.                ,Positive,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023,1,31,10,positive,Joy,52
 Cooking a special dinner for loved ones.           ,Positive,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,USA,2023,1,31,19,positive,Joy,52
 Feeling optimistic about the week ahead.           ,Positive,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,1,31,16,positive,Joy,52
 Starting a new fitness challenge tomorrow! 💪     ,Positive,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,UK,2023,2,1,8,positive,Joy,50
 Sunday bike ride through scenic trails.           ,Positive,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,USA,2023,2,1,13,positive,Joy,51
 Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023,2,11,9,anger,Anger,54
 Feeling a sense of fear after watching a thriller movie. ,Fear,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,USA,2023,2,11,21,fear,Fear,58
 Heartbroken after hearing the news about a natural disaster. ,Sadness,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2,12,14,sadness,Sadness,62
 The state of the world's environment is just disgusting. ,Disgust,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,UK,2023,2,12,18,disgust,Anger,58
 Pure happiness: celebrating a loved one's achievement! ,Happiness,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,USA,2023,2,13,10,happiness,Joy,56
 Laughter is the best medicine—enjoying a comedy show. ,Joy,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2,13,19,joy,Joy,55
